Column1,election_year,pc_name,pc_no,type_category,state,winning_candidate,party,electors,votes,turnout,margin,margin_percent
374,1977,Nagercoil,39,GEN,Tamil Nadu,Kumari Ananthan,Indian National Congress (ORGANISATION),646525,435474,67.4,74236,17
375,1977,Nagpur,23,GEN,Maharashtra,Awari Gev Mancharsha,Indian National Congress,608981,392163,64.4,41553,10.6
376,1977,Nainital,4,GEN,Uttar Pradesh ,Bharat Bhushan,Bharatiya Lok Dal,540445,326678,60.5,84646,25.9
377,1977,Nalanda,34,GEN,Bihar ,Birendra Prasad,Bharatiya Lok Dal,749243,536717,71.6,141022,26.3
378,1977,Nalgonda,41,GEN,Andhra Pradesh,Mohd. Abdul Lateef,Indian National Congress,631059,403761,64,107034,26.5
379,1977,Nanded,30,GEN,Maharashtra,Dhondge Keshavrao Shankarrao,Peasants & Workers Party,649735,385300,59.3,133820,34.7
380,1977,Nandurbar,15,GEN,Maharashtra,Naik Surupsingh Hariya,Indian National Congress,520515,322606,62,67440,20.9
381,1977,Nandyal,27,GEN,Andhra Pradesh,Neelam Sanjeeva Reddy,Bharatiya Lok Dal,675340,496200,73.5,35743,7.2
382,1977,Narasapur,10,GEN,Andhra Pradesh,Alluri Subhash Chandra Bose,Indian National Congress,670999,472161,70.4,114357,24.2
383,1977,Narasaraopet,17,GEN,Andhra Pradesh,K Brahmananda Reddy,Indian National Congress,750248,434640,57.9,88071,20.3
384,1977,Nashik,12,ST,Maharashtra,Hande Vithalrao Ganpatrao,Bharatiya Lok Dal,611491,334516,54.7,11241,3.4
385,1977,Nawada,42,SC,Bihar ,Nathuni Ram,Bharatiya Lok Dal,741486,518053,69.9,362701,70
386,1977,Nellore,19,SC,Andhra Pradesh,Kamakshaiah Doddavarapu,Indian National Congress,752778,423182,56.2,142780,33.7
387,1977,New Delhi,1,GEN,Delhi ,Atal Bihari Vajpayee,Bharatiya Lok Dal,270702,178112,65.8,77186,43.3
388,1977,Nilgiris,18,GEN,Tamil Nadu,Ramalingam P.S.,All India Anna Dravida Munnetra Kazhagam,695566,444544,63.9,59346,13.3
389,1977,Nizamabad,34,GEN,Andhra Pradesh,Mudaganti Ram Gopal Reddy,Indian National Congress,568014,372331,65.6,159393,42.8
390,1977,Nowgong,10,GEN,Assam,Dev Kanta Borooah,Indian National Congress,577927,319288,55.3,54219,17
391,1977,Nowrangpur,13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,522394,144408,27.6,3031,2.1
392,1977,Ongole,18,GEN,Andhra Pradesh,Puli Venkata Reddy,Indian National Congress,741462,462001,62.3,89325,19.3
393,1977,Osmanabad,36,GEN,Maharashtra,Shrangare Tukaram Sadashiv,Indian National Congress,566631,281661,49.7,61544,21.9
394,1977,Ottapalam,8,GEN,Kerala,K. Kunhambu,Indian National Congress,574543,440315,76.6,35721,8.1
395,1977,Outer Delhi,3,GEN,Delhi ,Brahm Perkash,Bharatiya Lok Dal,443858,316256,71.3,104366,33
396,1977,Outer Manipur,2,ST,Manipur,Yangmaso Shaiza,Indian National Congress,380305,222264,58.4,76062,34.2
397,1977,Padrauna,40,GEN,Uttar Pradesh ,Ram Dhari Shastri,Bharatiya Lok Dal,620038,322441,52,119098,36.9
398,1977,Palamau,54,SC,Bihar ,Ramdeni Ram,Bharatiya Lok Dal,579353,265364,45.8,162839,61.4
399,1977,Palani,22,GEN,Tamil Nadu,Subramaniam C.,Indian National Congress,738018,503041,68.2,221768,44.1
400,1977,Palghat,7,GEN,Kerala,A. Sunnasahib,Indian National Congress,589253,439779,74.6,14871,3.4
401,1977,Pali,21,GEN,Rajasthan,Amrit Nehata,Bharatiya Lok Dal,608370,334670,55,88247,26.4
402,1977,Panaji,1,GEN,"Goa, Daman And Diu",Kasar Amrut Shivram,Maharashtrawadi Gomantak,243439,154844,63.6,11066,7.1
403,1977,Pandharpur,38,SC,Maharashtra,Thorat Sandipan Bhagwan,Indian National Congress,618058,318855,51.6,98452,30.9
404,1977,Panskura,29,SC,West Bengal,Abha Maiti,Bharatiya Lok Dal,519863,373170,71.8,98137,26.3
405,1977,Parbhani,31,GEN,Maharashtra,Deshmukh Sheshrao Apparao,Peasants & Workers Party,574877,310487,54,31539,10.2
406,1977,Parvathipuram,2,ST,Andhra Pradesh,Vyrichorla Kishore Chandra Suryanarayana Deo,Indian National Congress,655999,330291,50.4,31744,9.6
407,1977,Patan,13,GEN,Gujarat,Chavda Khemchandbhai Somabhai,Bharatiya Lok Dal,573367,303870,53,73566,24.2
408,1977,Patiala,8,SC,Punjab,Gurcharan Sing Tohra,Shiromani Akali Dal,606187,462560,76.3,90317,19.5
409,1977,Patna,35,GEN,Bihar ,Maha Maya Prasad Sinha,Bharatiya Lok Dal,744724,506567,68,323125,63.8
410,1977,Peddapalli,36,SC,Andhra Pradesh,V. Tulsiram,Indian National Congress,638114,332640,52.1,105077,31.6
411,1977,Perambalur,28,GEN,Tamil Nadu,Asokaraj A.,All India Anna Dravida Munnetra Kazhagam,672075,485974,72.3,180027,37
412,1977,Periyakulam,25,GEN,Tamil Nadu,Ramasamy S.,All India Anna Dravida Munnetra Kazhagam,693319,480718,69.3,204392,42.5
413,1977,Phillaur,5,SC,Punjab,Bhagat Ram,Communist Party Of India (MARXIST),649304,463858,71.4,149031,32.1
414,1977,Phulbani,15,GEN,Orissa,Sribatcha Digal,Bharatiya Lok Dal,633850,209232,33,2643,1.3
415,1977,Phulpur,55,GEN,Uttar Pradesh ,Kamala Bahuguna,Bharatiya Lok Dal,609188,325408,53.4,122352,37.6
416,1977,Pilibhit,13,GEN,Uttar Pradesh ,Mohd. Shamusul Hasan Khan,Bharatiya Lok Dal,593586,342429,57.7,172676,50.4
417,1977,Pollachi,21,GEN,Tamil Nadu,Raju K.A.,All India Anna Dravida Munnetra Kazhagam,670445,413749,61.7,124194,30
418,1977,Pondicherry,1,GEN,Pondicherry,Aravinda Bala Pajanor,All India Anna Dravida Munnetra Kazhagam,298192,219560,73.6,19201,8.7
419,1977,Ponnani,6,GEN,Kerala,G. M. Banatwala,Muslim Leage,573502,431232,75.2,117546,27.3
420,1977,Porbandar,5,GEN,Gujarat,Patel Dharmasinhbhai Dahyabhai,Bharatiya Lok Dal,525285,276295,52.6,24429,8.8
421,1977,Pratapgarh,24,GEN,Uttar Pradesh ,Roop Nath Singh Yadava,Bharatiya Lok Dal,630123,294363,46.7,149320,50.7
422,1977,Pudukkottai,32,GEN,Tamil Nadu,Elanchezhian V.S.,All India Anna Dravida Munnetra Kazhagam,700248,532811,76.1,223615,42
423,1977,Pune,42,SC,Maharashtra,Mohan Dharia,Bharatiya Lok Dal,606601,382043,63,48167,12.6
424,1977,Puri,8,SC,Orissa,Padmacharan Samantasinhar,Bharatiya Lok Dal,624267,300554,48.2,70541,23.5
425,1977,Purnea,24,GEN,Bihar ,Lakhan Lal Kapoor,Bharatiya Lok Dal,610087,364431,59.7,92037,25.3
