,election_year,pc_name,pc_no,electors,male_electors,female_electors,votes_polled,male_voters,female_voters,votes_polled_percentage
90,1977,Bhiwani,8,590889,312539,278350,435502,237922,197580,73.7
91,1977,Bhopal,30,616993,327476,289517,381028,220740,160288,61.8
92,1977,Bhubaneswar,9,609164,323367,285797,246013,123007,123006,40.4
93,1977,Bidar,1,606711,308694,298017,311925,175704,136221,51.4
94,1977,Bijapur,28,576941,292266,284675,337433,180358,157075,58.5
95,1977,Bijnor,5,594498,321350,273148,353959,206042,147917,59.5
96,1977,Bikaner,2,675406,356350,319056,368614,214163,154451,54.6
97,1977,Bikramganj,39,692767,372002,320765,425266,246174,179092,61.4
98,1977,Bilaspur,15,546085,265442,280643,305653,168290,137363,56.0
99,1977,Bilhaur,64,620424,353688,266736,371190,247357,123833,59.8
100,1977,Birbhum,42,553221,277504,275717,288116,185738,102378,52.1
101,1977,Bobbili,3,635653,310230,325423,342868,187009,155859,53.9
102,1977,Bolangir,16,572122,292578,279544,232260,152795,79465,40.6
103,1977,Bolpur,41,550289,275867,274422,266128,175036,91092,48.4
104,1977,Bombay North,9,659985,371651,288334,422795,251051,171744,64.1
105,1977,Bombay North Central,6,677049,413204,263845,401104,242202,158902,59.2
106,1977,Bombay North East,7,697754,410521,287233,431636,258650,172986,61.9
107,1977,Bombay North West,8,643901,365846,278055,409025,241534,167491,63.5
108,1977,Bombay South,4,685196,437857,247339,405754,247099,158655,59.2
109,1977,Bombay South Central,5,655937,439553,216384,387772,256353,131419,59.1
110,1977,Broach,23,544523,272875,271648,345057,183782,161275,63.4
111,1977,Budaun,10,602666,331219,271447,347350,219960,127390,57.6
112,1977,Bulandshahr,78,629818,343843,285975,408756,245618,163138,64.9
113,1977,Buldhana,18,580389,290370,290019,352690,194253,158437,60.8
114,1977,Bulsar,26,556415,277097,279318,330000,170455,159545,59.3
115,1977,Burdwan,39,638853,338438,300415,363202,210478,152724,56.9
116,1977,Buxar,37,705022,370359,334663,446815,276250,170565,63.4
117,1977,Calcutta North East,22,641747,427813,213934,361255,233903,127352,56.3
118,1977,Calcutta North West,21,595840,364654,231186,321742,223034,98708,54.0
119,1977,Calcutta South,23,654202,396723,257479,398561,244141,154420,60.9
120,1977,Calicut,4,559054,283691,275363,457067,233161,223906,81.8
121,1977,Cannanore,2,553360,277034,276326,457869,227267,230602,82.7
122,1977,Chail,57,624372,342072,282300,256616,136049,120567,41.1
123,1977,Chamarajanagar,15,606937,312039,294898,400768,220853,179915,66.0
124,1977,Chandauli,51,604665,308506,296159,398509,212265,186244,65.9
125,1977,Chandigarh,1,160963,92520,68443,108494,63310,45184,67.4
126,1977,Chandni Chowk,5,313714,183365,130349,260313,161601,98712,83.0
127,1977,Chandrapur,26,594026,297993,296033,392636,213829,178807,66.1
128,1977,Chapra,7,658829,339273,319556,486806,284556,202250,73.9
129,1977,Chatra,44,580623,299901,280722,278508,163751,114757,48.0
130,1977,Chengalpattu,5,630334,317491,312843,461557,238903,222654,73.2
131,1977,Chhindwara,27,514364,256493,257871,243307,152257,91050,47.3
132,1977,Chhota Udaipur,21,533507,270769,262738,321022,178194,142828,60.2
133,1977,Chidambaram,12,663634,333757,329877,459817,238919,220898,69.3
134,1977,Chikballapur,9,627230,320692,306538,408854,229195,179659,65.2
135,1977,Chikkodi,26,571003,290667,280336,332755,183514,149241,58.3
136,1977,Chikmagalur,20,534676,274778,259898,362993,195721,167272,67.9
137,1977,Chimur,25,631759,312552,319207,449794,240258,209536,71.2
138,1977,Chirayinkil,19,564054,278000,286054,425651,201047,224604,75.5
139,1977,Chitradurga,7,619838,322640,297198,382855,210651,172204,61.8
140,1977,Chittoor,21,699218,353318,345900,472389,256425,215964,67.6
141,1977,Chittorgarh,19,601379,307600,293779,333384,207838,125546,55.4
142,1977,Churu,3,621315,316064,305251,378811,201497,177314,61.0
143,1977,Coimbatore,20,743258,390229,353029,523180,278505,244675,70.4
144,1977,Contai,31,581866,307140,274726,388122,206789,181333,66.7
145,1977,Cooch Behar,1,570556,296390,274166,363908,208387,155521,63.8
